name,original_name,type,network,original_server,original_ip,original_provider,bug_sni,output_server,port,status,tier,bug_best_delay_ms,bug_avg_delay_ms,bug_jitter_ms,bug_success_count,ws_upgrade_ms,ws_success_count,ws_status,original_best_delay_ms,original_success_count,attempts,score,source,reason
>>@oneclickvpnkeys::US,,vless,ws,flat-night-edd0.hosein9saleazhuongooyeh87.workers.dev,,,FLAT-night-EDD0.hOsEin9saLEAZhuongOoYeH87.wOrkerS.DeV,104.17.3.81,443,dead,,,,,0,,0,429,,0,3,1000599,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server gagal: ws upgrade gagal: 429
>>@oneclickvpnkeys::US,,vless,ws,www.speedtest.net,,,ez-5FAAFb.EsmAoi.wORKeRs.DEv,104.17.3.81,443,dead,,,,,0,,0,429,,0,3,1000599,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server gagal: ws upgrade gagal: 429
AKUN-039-CLOUDFLARE-VLESS-WS-108MS,>>@oneclickvpnkeys::US,vless,ws,05a5f9v5a6cm563ieoye7j-8tnpd.hsysyegegrygvvvdujhh.workers.dev,172.67.140.37,CLOUDFLARE,05a5f9v5a6cm563ieoye7j-8tnpd.hsysyegegrygvvvdujhh.workers.dev,104.17.3.81,443,alive,FAST ≤123ms,108,463,998,3,108,3,101,,0,3,1006,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped
>>@oneclickvpnkeys::US,,vless,ws,170.114.46.6,,,support.zoom.us.yxls.eu.cc,104.17.3.81,443,alive,BACKUP ≤1200ms,140,148,15,3,140,3,101,,0,3,153,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped
>>@oneclickvpnkeys::US,,vless,ws,172.67.149.60,,,support.zoom.us.yxls.eu.cc,104.17.3.81,443,alive,BACKUP ≤1200ms,153,484,990,3,153,3,101,,0,3,1044,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped
>>@shadowproxy66::US,,vless,ws,one-for-all.levikogjgfdd.ir,,,support.zoom.us.yxls.eu.cc,104.17.3.81,443,dead,,,,,0,,0,400,,0,3,1000599,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server gagal: ws upgrade gagal: 400
>>@oneclickvpnkeys::US,,vless,ws,141.101.114.8,,,noisy-term-e657.airdrop2014aa5168.workers.dev,104.17.3.81,443,dead,,,,,0,,0,429,,0,3,1000599,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server gagal: ws upgrade gagal: 429
>>@oneclickvpnkeys::US,,vless,ws,141.101.120.73,,,noisy-term-e657.airdrop2014aa5168.workers.dev,104.17.3.81,443,dead,,,,,0,,0,429,,0,3,1000599,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server gagal: ws upgrade gagal: 429
AKUN-026-CLOUDFLARE-VLESS-WS-147MS,>>@oneclickvpnkeys::US,vless,ws,server3.pegibol940.workers.dev,104.21.0.87,CLOUDFLARE,server3.pegibol940.workers.dev,104.17.3.81,443,alive,BACKUP ≤1200ms,147,165,41,3,147,3,101,,0,3,183,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped; URL test ok
AKUN-008-MINEDU-BLK-NZ-VLESS-WS-110MS,>>@oneclickvpnkeys::US,vless,ws,202.37.33.80,202.37.33.80,MINEDU-BLK-NZ,support.zoom.us.yxls.eu.cc,104.17.3.81,443,alive,FAST ≤123ms,110,136,40,3,110,3,101,,0,3,146,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped; URL test ok
AKUN-020-CLOUDFLARE-VLESS-WS-116MS,>>@oneclickvpnkeys::US,vless,ws,172.67.153.110,172.67.153.110,CLOUDFLARE,FRee.SeRver11pEEkcONFIg.WorkeRS.DEv,104.17.3.81,443,alive,FAST ≤123ms,116,132,46,3,116,3,101,,0,3,157,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped; URL test ok
>>@oneclickvpnkeys::US,,vless,ws,free.server11peekconfig.workers.dev,,,FRee.SeRver11pEEkcONFIg.WorkeRS.DEv,104.17.3.81,443,alive,FAST ≤123ms,111,481,1049,3,111,3,101,,0,3,1055,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped
>>@FreakConfig::US,,vless,ws,one-for-all.levikogjgfdd.ir,,,parsa-panel-alypp.fafaavaf.workers.dev,104.17.3.81,443,alive,BACKUP ≤1200ms,933,1430,1186,3,933,3,101,,0,3,2000,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped
>>@FreakConfig::US,,vless,ws,www.speedtest.net,,,BPb-F23dDEdd.JCXkvlnDL.WOrkERS.deV,104.17.3.81,443,dead,,,,,0,,0,429,,0,3,1000599,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server gagal: ws upgrade gagal: 429
>>@ShadowsocksM::TH,,vless,ws,www.true.th,,,d1yxsk0zprgivr.cloudfront.net,104.17.3.81,443,dead,,,,,0,,0,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:108,,0,3,1000599,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server gagal: ws upgrade gagal: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:108
AKUN-048-CLOUDFLARE-VLESS-WS-103MS,>>@configV2rayNG::US,vless,ws,104.16.79.73,104.16.79.73,CLOUDFLARE,josni.hoyes.cloudns.ch,104.17.3.81,443,alive,FAST ≤123ms,103,472,1046,3,103,3,101,,0,3,1044,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped
AKUN-041-CLOUDFLARE-VLESS-WS-103MS,>>@v2ray_configs_pool::US,vless,ws,104.18.37.228,104.18.37.228,CLOUDFLARE,josni.hoyes.cloudns.ch,104.17.3.81,443,alive,FAST ≤123ms,103,469,1030,3,103,3,101,,0,3,1030,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped
AKUN-013-CLOUDFLARE-VLESS-WS-105MS,>>@oneclickvpnkeys::US,vless,ws,172.66.44.97,172.66.44.97,CLOUDFLARE,josni.hoyes.cloudns.ch,104.17.3.81,443,alive,FAST ≤123ms,105,132,51,3,105,3,101,,0,3,150,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped; URL test ok
